Id,OwnerUserId,CreationDate,ParentId,Score,Body
101000,442,2023-01-02,1000,50,This is an answer to question 1000. You should try checking the logs.
101001,261,2023-01-02,1001,24,This is an answer to question 1001. You should try checking the logs.
101002,458,2023-01-02,1002,2,This is an answer to question 1002. You should try checking the logs.
101003,363,2023-01-02,1003,40,This is an answer to question 1003. You should try checking the logs.
101004,415,2023-01-02,1004,42,This is an answer to question 1004. You should try checking the logs.
101005,147,2023-01-02,1005,28,This is an answer to question 1005. You should try checking the logs.
101006,277,2023-01-02,1006,25,This is an answer to question 1006. You should try checking the logs.
101007,348,2023-01-02,1007,44,This is an answer to question 1007. You should try checking the logs.
101008,411,2023-01-02,1008,45,This is an answer to question 1008. You should try checking the logs.
101009,460,2023-01-02,1009,35,This is an answer to question 1009. You should try checking the logs.
101010,334,2023-01-02,1010,27,This is an answer to question 1010. You should try checking the logs.
101011,94,2023-01-02,1011,33,This is an answer to question 1011. You should try checking the logs.
101012,467,2023-01-02,1012,40,This is an answer to question 1012. You should try checking the logs.
101013,47,2023-01-02,1013,18,This is an answer to question 1013. You should try checking the logs.
101014,409,2023-01-02,1014,33,This is an answer to question 1014. You should try checking the logs.
101015,447,2023-01-02,1015,29,This is an answer to question 1015. You should try checking the logs.
101016,176,2023-01-02,1016,1,This is an answer to question 1016. You should try checking the logs.
101017,23,2023-01-02,1017,5,This is an answer to question 1017. You should try checking the logs.
101018,170,2023-01-02,1018,46,This is an answer to question 1018. You should try checking the logs.
101019,66,2023-01-02,1019,1,This is an answer to question 1019. You should try checking the logs.
101020,272,2023-01-02,1020,40,This is an answer to question 1020. You should try checking the logs.
101021,15,2023-01-02,1021,32,This is an answer to question 1021. You should try checking the logs.
101022,497,2023-01-02,1022,44,This is an answer to question 1022. You should try checking the logs.
101023,180,2023-01-02,1023,7,This is an answer to question 1023. You should try checking the logs.
101024,231,2023-01-02,1024,36,This is an answer to question 1024. You should try checking the logs.
101025,403,2023-01-02,1025,7,This is an answer to question 1025. You should try checking the logs.
101026,339,2023-01-02,1026,20,This is an answer to question 1026. You should try checking the logs.
101027,93,2023-01-02,1027,30,This is an answer to question 1027. You should try checking the logs.
